JUGADOR,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,MIN,PER,eficiente
Nikola Jokic,24.5,12.4,9.8,1.3,0.7,0.632,0.38,0.82,3.6,33.5,31.6,1
Joel Embiid,33.1,9.6,4.2,1.0,1.7,0.53,0.33,0.857,3.4,34.6,31.4,1
Luka Doncic,32.4,8.6,8.0,1.4,0.5,0.496,0.356,0.74,4.0,36.2,27.6,1
Giannis Antetokounmpo,31.1,11.8,5.7,1.1,0.8,0.553,0.275,0.64,3.4,32.1,27.2,1
Stephen Curry,29.4,4.7,6.3,1.4,0.4,0.49,0.427,0.924,3.2,32.7,23.7,1
Jayson Tatum,30.1,8.8,4.6,1.1,0.6,0.466,0.351,0.85,2.8,36.9,23.6,1
Devin Booker,27.8,4.5,4.8,1.0,0.3,0.494,0.354,0.856,2.8,34.5,22.5,1
LeBron James,28.9,8.3,6.8,1.3,0.6,0.5,0.324,0.702,3.5,35.5,22.4,1
Kevin Durant,29.9,6.7,5.0,1.0,1.1,0.523,0.405,0.902,2.9,35.6,22.0,1
Damian Lillard,32.2,4.8,7.3,0.9,0.3,0.462,0.371,0.91,3.3,35.8,21.8,1
Anthony Davis,25.9,12.5,2.6,1.1,2.3,0.56,0.254,0.78,2.3,34.0,21.7,1
Ja Morant,26.2,5.9,8.1,1.6,0.5,0.479,0.302,0.74,3.4,30.3,21.0,1
Trae Young,26.2,2.8,10.2,1.0,0.2,0.428,0.334,0.856,4.3,34.0,20.5,1
Donovan Mitchell,28.1,4.4,4.5,1.5,0.5,0.497,0.363,0.88,2.9,35.0,20.3,1
Zion Williamson,26.0,7.0,3.9,1.1,0.7,0.601,0.29,0.71,2.7,29.5,20.1,1
Bam Adebayo,20.4,9.8,3.0,1.2,0.9,0.572,0.171,0.756,1.9,34.2,19.8,1
Domantas Sabonis,19.1,12.3,6.2,1.5,0.4,0.577,0.271,0.78,3.6,33.0,19.4,1
Julius Randle,24.0,9.4,3.8,0.8,0.5,0.455,0.369,0.767,2.8,33.9,19.0,1
Pascal Siakam,24.2,7.7,4.2,1.2,0.6,0.528,0.363,0.78,2.5,34.1,18.7,1
Karl-Anthony Towns,22.4,7.7,3.0,0.9,0.8,0.494,0.393,0.82,2.6,30.6,18.2,1
De'Aaron Fox,25.2,4.5,5.8,1.5,0.2,0.511,0.298,0.704,2.8,33.8,17.9,1
Tyrese Haliburton,20.7,3.7,10.4,1.6,0.3,0.472,0.4,0.861,3.2,31.6,17.6,1
Jaren Jackson Jr.,18.6,6.8,1.6,1.1,3.0,0.428,0.362,0.793,1.4,30.1,17.3,1
Evan Mobley,15.1,8.3,1.5,0.9,1.7,0.498,0.282,0.631,1.3,30.0,16.8,1
