PLAYER_NAME,TEAM,RIVAL,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,REB,AST,STL,BLK,TOV,PLUS_MINUS,HOME,SEASON
LeBron James,LAL,DAL,2024-10-22,LAL @ DAL,W,29.6,39.1,16,39,0.41,1,4,0.25,9.6,7.9,1.7,0.2,3.2,-3.7,0,2024-25
LeBron James,LAL,TOR,2024-10-25,LAL vs TOR,W,30.9,18.5,8,18,0.444,2,9,0.222,2.9,0.0,0.8,0.7,5.6,3.2,1,2024-25
LeBron James,LAL,SAS,2024-10-28,LAL vs SAS,L,34.8,13.2,5,14,0.357,2,6,0.333,4.1,3.0,0.4,0.7,1.7,-11.0,1,2024-25
LeBron James,LAL,WAS,2024-10-31,LAL vs WAS,W,32.5,25.6,13,24,0.542,2,7,0.286,7.2,0.0,1.6,0.4,3.1,5.3,1,2024-25
LeBron James,LAL,POR,2024-11-03,LAL @ POR,L,31.0,13.4,6,15,0.4,2,8,0.25,7.2,0.1,0.6,0.9,3.3,5.6,0,2024-25
LeBron James,LAL,HOU,2024-11-06,LAL vs HOU,L,32.5,32.0,12,30,0.4,3,8,0.375,7.9,8.3,1.5,0.0,2.9,-0.6,1,2024-25
LeBron James,LAL,PHX,2024-11-09,LAL @ PHX,L,32.4,13.9,5,14,0.357,2,8,0.25,6.0,8.5,1.6,0.5,1.3,-11.3,0,2024-25
LeBron James,LAL,DAL,2024-11-12,LAL vs DAL,W,36.8,30.0,15,29,0.517,0,2,0.0,0.6,3.4,1.9,0.3,1.6,-2.9,1,2024-25
LeBron James,LAL,GSW,2024-11-15,LAL vs GSW,W,36.6,36.5,17,36,0.472,2,6,0.333,4.1,1.7,0.6,0.2,1.8,-16.7,1,2024-25
LeBron James,LAL,OKC,2024-11-18,LAL @ OKC,W,35.0,36.6,16,37,0.432,0,2,0.0,3.7,3.8,2.1,0.0,2.9,15.8,0,2024-25
LeBron James,LAL,PHI,2024-11-21,LAL @ PHI,W,30.4,23.7,13,26,0.5,2,7,0.286,2.9,5.3,1.6,0.4,1.1,6.3,0,2024-25
LeBron James,LAL,DEN,2024-11-24,LAL vs DEN,W,36.1,33.1,17,34,0.5,2,5,0.4,6.3,0.0,1.5,0.9,1.5,5.4,1,2024-25
LeBron James,LAL,ATL,2024-11-27,LAL vs ATL,L,24.9,0.7,0,1,0.0,3,9,0.333,5.4,0.9,0.3,0.7,2.9,2.0,1,2024-25
LeBron James,LAL,NYK,2024-11-30,LAL vs NYK,W,37.0,24.4,12,25,0.48,2,9,0.222,5.5,1.0,1.9,1.1,3.4,-7.6,1,2024-25
LeBron James,LAL,CHA,2024-12-03,LAL @ CHA,L,34.6,40.0,18,38,0.474,1,4,0.25,6.2,1.8,0.6,0.4,2.9,2.2,0,2024-25
LeBron James,LAL,GSW,2024-12-06,LAL @ GSW,L,36.6,37.3,20,38,0.526,1,4,0.25,5.0,4.5,1.6,0.2,3.2,-15.6,0,2024-25
LeBron James,LAL,HOU,2024-12-09,LAL vs HOU,W,14.0,7.7,3,7,0.429,0,2,0.0,3.2,1.1,2.2,0.0,1.3,7.1,1,2024-25
LeBron James,LAL,TOR,2024-12-12,LAL @ TOR,W,31.0,20.3,10,19,0.526,0,2,0.0,1.5,5.2,1.1,0.1,2.6,-3.3,0,2024-25
LeBron James,LAL,TOR,2024-12-15,LAL vs TOR,L,18.9,3.1,0,1,0.0,2,7,0.286,6.1,0.0,1.5,0.1,3.4,-0.4,1,2024-25
LeBron James,LAL,DET,2024-12-18,LAL @ DET,W,34.4,31.8,13,33,0.394,1,3,0.333,8.1,2.4,0.9,0.0,1.6,13.3,0,2024-25
LeBron James,LAL,GSW,2024-12-21,LAL vs GSW,W,34.6,42.7,23,45,0.511,2,6,0.333,6.2,9.3,1.9,0.0,1.9,10.1,1,2024-25
LeBron James,LAL,CLE,2024-12-24,LAL @ CLE,L,28.4,10.2,4,11,0.364,2,9,0.222,0.0,1.4,1.0,0.0,4.5,-11.4,0,2024-25
LeBron James,LAL,BOS,2024-12-27,LAL @ BOS,L,36.6,23.9,13,26,0.5,2,9,0.222,12.0,3.5,1.2,0.7,2.7,-15.2,0,2024-25
LeBron James,LAL,GSW,2024-12-30,LAL vs GSW,W,37.4,41.0,22,41,0.537,3,9,0.333,5.8,2.4,1.1,0.2,1.8,6.8,1,2024-25
LeBron James,LAL,CHA,2025-01-02,LAL @ CHA,L,36.0,31.1,14,29,0.483,2,6,0.333,6.7,0.0,0.3,0.1,3.9,12.4,0,2024-25
LeBron James,LAL,NOP,2025-01-05,LAL @ NOP,W,33.1,25.4,10,23,0.435,1,4,0.25,3.8,6.5,1.3,0.5,0.9,-26.9,0,2024-25
LeBron James,LAL,PHX,2025-01-08,LAL vs PHX,W,24.2,9.1,2,7,0.286,2,6,0.333,5.8,4.2,0.7,0.9,2.3,-6.6,1,2024-25
LeBron James,LAL,ATL,2025-01-11,LAL @ ATL,L,29.0,22.8,11,25,0.44,0,2,0.0,3.6,4.6,0.2,0.0,1.6,-1.7,0,2024-25
LeBron James,LAL,TOR,2025-01-14,LAL vs TOR,L,32.7,20.3,10,19,0.526,2,9,0.222,5.0,7.2,1.7,0.6,2.6,-11.6,1,2024-25
LeBron James,LAL,PHI,2025-01-17,LAL vs PHI,L,28.1,21.4,9,23,0.391,1,6,0.167,7.5,1.3,0.7,0.0,4.2,-5.6,1,2024-25
Stephen Curry,GSW,ATL,2024-10-22,GSW @ ATL,W,31.4,15.3,6,14,0.429,1,3,0.333,4.3,5.1,0.6,0.0,1.6,-1.0,0,2024-25
Stephen Curry,GSW,CHA,2024-10-25,GSW @ CHA,L,30.7,26.2,15,28,0.536,2,6,0.333,10.1,2.7,1.3,0.9,2.1,-6.4,0,2024-25
Stephen Curry,GSW,ORL,2024-10-28,GSW @ ORL,L,31.9,37.3,20,37,0.541,1,6,0.167,3.0,7.9,2.5,0.6,2.7,15.8,0,2024-25
Stephen Curry,GSW,SAS,2024-10-31,GSW vs SAS,W,30.1,23.8,12,22,0.545,1,6,0.167,6.0,8.2,1.2,0.2,4.0,2.3,1,2024-25
Stephen Curry,GSW,LAL,2024-11-03,GSW @ LAL,W,32.2,29.3,15,31,0.484,1,3,0.333,12.6,7.6,1.8,0.4,2.8,9.6,0,2024-25
Stephen Curry,GSW,BOS,2024-11-06,GSW @ BOS,W,32.5,33.9,15,35,0.429,1,3,0.333,5.0,9.0,1.0,0.0,2.5,6.2,0,2024-25
Stephen Curry,GSW,NYK,2024-11-09,GSW vs NYK,W,29.8,22.8,11,21,0.524,1,4,0.25,2.2,7.2,1.4,0.7,1.9,-7.2,1,2024-25
Stephen Curry,GSW,PHI,2024-11-12,GSW vs PHI,W,31.6,20.3,8,19,0.421,1,3,0.333,2.9,7.5,1.1,0.3,3.2,9.1,1,2024-25
Stephen Curry,GSW,IND,2024-11-15,GSW vs IND,W,31.7,32.7,17,32,0.531,2,7,0.286,4.1,8.0,0.7,0.6,3.3,-6.4,1,2024-25
Stephen Curry,GSW,SAC,2024-11-18,GSW vs SAC,L,33.6,13.9,5,12,0.417,1,3,0.333,2.9,4.0,0.0,0.2,2.1,20.4,1,2024-25
Stephen Curry,GSW,TOR,2024-11-21,GSW @ TOR,L,31.8,31.7,15,34,0.441,1,3,0.333,11.0,7.0,0.1,0.6,2.3,1.4,0,2024-25
Stephen Curry,GSW,POR,2024-11-24,GSW vs POR,W,28.5,20.7,12,22,0.545,3,8,0.375,7.4,7.4,2.5,0.4,3.2,9.7,1,2024-25
Stephen Curry,GSW,OKC,2024-11-27,GSW vs OKC,W,35.4,26.1,11,27,0.407,1,3,0.333,6.9,7.0,0.6,0.3,3.1,-10.8,1,2024-25
Stephen Curry,GSW,PHX,2024-11-30,GSW vs PHX,L,30.0,30.7,12,30,0.4,3,8,0.375,6.6,10.6,0.0,0.0,3.2,1.4,1,2024-25
Stephen Curry,GSW,MIA,2024-12-03,GSW @ MIA,L,29.8,20.4,11,20,0.55,3,9,0.333,5.3,6.7,1.3,0.1,3.2,0.5,0,2024-25
Stephen Curry,GSW,CHI,2024-12-06,GSW @ CHI,W,31.6,24.0,13,26,0.5,1,3,0.333,0.0,4.5,0.0,0.2,2.5,16.4,0,2024-25
Stephen Curry,GSW,LAL,2024-12-09,GSW vs LAL,L,34.2,26.9,12,27,0.444,1,4,0.25,5.3,4.8,0.9,0.7,4.0,10.7,1,2024-25
Stephen Curry,GSW,PHI,2024-12-12,GSW vs PHI,L,30.5,22.7,8,20,0.4,2,7,0.286,9.9,6.9,1.3,0.0,1.6,-14.6,1,2024-25
Stephen Curry,GSW,IND,2024-12-15,GSW vs IND,L,35.7,15.3,7,15,0.467,1,4,0.25,3.8,8.8,2.3,0.0,1.7,-10.4,1,2024-25
Stephen Curry,GSW,OKC,2024-12-18,GSW vs OKC,W,29.0,17.5,6,15,0.4,1,5,0.2,8.6,8.7,0.8,0.3,2.1,-0.8,1,2024-25
Stephen Curry,GSW,DEN,2024-12-21,GSW @ DEN,L,30.3,24.8,12,27,0.444,2,6,0.333,1.7,4.5,0.0,0.8,2.6,-7.3,0,2024-25
Stephen Curry,GSW,MIN,2024-12-24,GSW @ MIN,L,32.5,16.0,7,16,0.438,0,2,0.0,7.4,6.6,2.0,0.0,1.3,7.1,0,2024-25
Stephen Curry,GSW,MIN,2024-12-27,GSW @ MIN,L,28.7,34.1,14,34,0.412,1,4,0.25,5.2,12.6,0.8,0.9,2.0,-10.2,0,2024-25
Stephen Curry,GSW,ORL,2024-12-30,GSW @ ORL,L,32.8,28.3,11,28,0.393,0,2,0.0,5.3,6.5,1.6,0.3,4.2,4.0,0,2024-25
Stephen Curry,GSW,ORL,2025-01-02,GSW vs ORL,W,28.2,30.1,15,28,0.536,1,4,0.25,1.6,11.3,1.5,1.0,3.0,0.8,1,2024-25
